frame size      latency (microseconds)  bandwidth (Mbytes/seconds)
        1               6.5             0
        2               6.3             0
        4               6.5             0
        8               6.3             0
        16              6.6             1499.7
        32              7.1             4177.11
        64              8.4             7125.04
        128             10.9            10935.9
        256             13.3            18683.2
        512             18.8            26547.7
        1024            29.8            33548
        2048            52.3            38173
        4096            96.9            41241.4
