#Statistics
#Frame size     Write to copy block     Write PIO       Host-NIC DMA
1               0.1                     0.1                     10
2               0                       0.1                     7
4               0                       0.1                     7
8               0                       0.2                     7
16              0                       0.4                     7
32              0                       0.9                     7
64              0                       1.8                     7
128             0                       3.8                     7
256             0                       7.7                     7
512             0.1                     15.5                    7
1024            0.2                     31                      7
2048            0.4                     62                      7
4096            0.8                     124.1                   7
8192            1.7                     248.2                   7
16384           3.4                     496.7                   7
32768           7                       993.2                   7
65536           30.7                    1986.6                  7
