"# of nodes";"node_en";"node_en EA";"original lifetime";"energy-aware lifetime";"pkt dlvry";"pkt dlvry EA";"link";"link EA";"broken";"broken EA";"target lifetime"
20;"3.04915482";"2.45627694";"35.10797145";"42.5684716";"0.410377358490566";"0.221698113207547";"0.570754716981132";"0.731132075471698";"0.0188679245283019";"0.0471698113207547";25
40;"4.25300301";"2.71905633";"23.697482725";"35.490900025";"0.655660377358491";"0.226415094339623";"0.320754716981132";"0.599056603773585";"0.0235849056603774";"0.174528301886792";25
60;"5.0694478200036";"3.00854412";"19.04659435";"31.8791530167";"0.773584905660377";"0.292452830188679";"0.179245283018868";"0.466981132075472";"0.0471698113207547";"0.240566037735849";25
80;"4.976149545";"2.97503658";"19.321205925";"32.194530675";"0.783018867924528";"0.311320754716981";"0.169811320754717";"0.226415094339623";"0.0471698113207547";"0.462264150943396";25
100;"4.9078779119892";"3.177286992";"19.58722594";"30.14336695";"0.75";"0.316037735849057";"0.188679245283019";"0.283018867924528";"0.0613207547169811";"0.400943396226415";25
120;"5.6508047100072";"3.1744200600072";"17.0068322917";"30.1640698167";"0.792452830188679";"0.30188679245283";"0.188679245283019";"0.221698113207547";"0.0188679245283019";"0.476415094339623";25
150;"5.58976572";"3.2726376720036";"17.20967338";"29.2599648933";"0.778301886792453";"0.297169811320755";"0.207547169811321";"0.419811320754717";"0.0141509433962264";"0.283018867924528";25
170;"5.8651209317628";"3.1891661788248";"16.4052446647";"30.0380085294";"0.754716981132076";"0.297169811320755";"0.231132075471698";"0.179245283018868";"0.0141509433962264";"0.523584905660377";25
200;"5.768505828";"3.3201779579892";"16.66543118";"28.83896844";"0.778301886792453";"0.297169811320755";"0.212264150943396";"0.273584905660377";"0.00943396226415094";"0.429245283018868";25
;;;;;;;;;;;
;;;;;;;;;;;
;;"13.2807118319568";;;;;;;;;
;;"318.737083966963";;;;;;;;;
;;"7968.42709917408";;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
"number of nodes";"original lifetime";"energy-aware lifetime";"target lifetime";;;;;;;;
20;35.10797145;42.5684716;25;;;;;;;;
40;23.697482725;35.490900025;25;;;;;;;;
60;19.04659435;31.8791530167;25;;;;;;;;
80;19.321205925;32.194530675;25;;;;;;;;
100;19.58722594;30.14336695;25;;;;;;;;
120;17.0068322917;30.1640698167;25;;;;;;;;
150;17.20967338;29.2599648933;25;;;;;;;;
170;16.4052446647;30.0380085294;25;;;;;;;;
200;16.66543118;28.83896844;25;;;;;;;;
